variable,BN_rank,probability_range,lowest_BN_P_high,highest_BN_P_high,RF_importance_percent,lasso_standardized_coefficient_from_main_report,OLS_full_coefficient,OLS_p_value_normal_approx,OLS_standardized_coefficient,GAM_drop_explained_deviance,evidence_count
CO,2.0,0.72091238,0.03265332,0.7535657,57.76570240556275,14.3,71.95664842511836,5.498998674738305e-105,0.5652372386450419,0.06922162,5
NO2,3.0,0.54175265,0.1059071,0.64765975,8.45526144874194,7.946,0.6354142774986552,9.917199667456854e-38,0.30707122843016527,0.05441093,5
WindSpeed,8.0,0.17262196,0.24285868,0.41548064,1.8363397636169505,1.112,1.047262276793266,0.020720513183785347,0.04163314727358853,0.00200059,5
O3,7.0,0.19795972,0.23877703,0.43673675,1.814065967979404,1.734,0.06613966533177522,0.0009622800235973111,0.08435070030637373,0.0187259,5
Humidity,5.0,0.20530766,0.19755733,0.40286499,2.779949522150841,,-0.012575560788333578,0.7160588548376479,-0.008486227713556853,0.00718252,4
SO2,4.0,0.28513295,0.23829072,0.52342367,2.006947746101936,-2.058,-2.61159364376896,1.4453086343109193e-07,-0.08123234543166673,,4
Precipitation,9.0,0.03726704,0.3143679,0.35163494,0.8167413641467416,-0.732,-0.09199310605639312,0.06339040780173684,-0.027643450163134818,,4
Lag_PM2.5,,,,,18.79812005545335,6.952,0.271385758986107,1.7856631931662804e-69,0.2713545473467996,,3
Temperature,6.0,0.20860448,0.21588736,0.42449184,2.538590701518965,,-0.1468583146873894,0.040695608203049606,-0.06788675913816976,,3
season_Spring,,,,,0.81874175706041,2.455,9.985777651802799,1.1948654054365243e-12,0.16855155023572055,,3
month,,,,,1.7393753595972232,-1.454,,,,,2
season_Summer,,,,,0.3809258250570458,,3.198083269827889,0.1128843925662119,0.053980962896274395,,2
season_Winter,,,,,0.1540288118667385,-1.513,,,,,2
season_Autumn,,,,,0.0952092711457051,,2.593171999932807,0.05997764635394398,0.04361161791630635,,2
PM10,1.0,0.83910496,0.00203668,0.84114164,,,,,,,1
