variable,state,concrete_definition,n_days,mean_PM25,median_PM25,P_high_PM25_empirical,mean_variable_value
Temperature,Low,<= 5.47 deg C,487,30.69624661190965,22.5964,0.3613963039014374,-2.0328952772073925
Temperature,Medium,> 5.47 and <= 20.63 deg C,487,37.04801149897331,26.656,0.42505133470225875,13.344907597535936
Temperature,High,> 20.63 deg C,488,22.581526844262296,20.4214,0.2151639344262295,25.453954918032785
Humidity,Low,<= 49.31 %,488,22.631861065573773,16.9488,0.19672131147540983,38.66186475409835
Humidity,Medium,> 49.31 and <= 67.29 %,488,31.352500614754103,25.54045,0.4016393442622951,58.33813524590163
Humidity,High,> 67.29 %,486,36.351584979423876,26.35235,0.40329218106995884,77.92481481481481
WindSpeed,Low,<= 1.65 m/s,488,36.87616106557377,26.5494,0.41598360655737704,1.321516393442623
WindSpeed,Medium,> 1.65 and <= 2.40 m/s,487,29.720435523613965,22.9179,0.34291581108829566,2.0180698151950716
WindSpeed,High,> 2.40 m/s,487,23.69983593429158,16.9607,0.24229979466119098,3.349650924024641
CO,Low,<= 0.38 mg/m3,488,12.975070081967212,10.1125,0.030737704918032786,0.2880463114754098
CO,Medium,> 0.38 and <= 0.54 mg/m3,487,24.417635318275153,22.181,0.21560574948665298,0.4585911704312115
CO,High,> 0.54 mg/m3,487,52.95280533880903,45.0393,0.75564681724846,0.7149856262833675
NO2,Low,<= 15.91 ug/m3,488,16.294109016393442,12.479199999999999,0.10450819672131148,11.287375204918032
NO2,Medium,> 15.91 and <= 25.92 ug/m3,487,24.58964455852156,20.8964,0.2464065708418891,20.41950061601643
NO2,High,> 25.92 ug/m3,487,49.454941889117045,41.1929,0.6509240246406571,37.73865913757701
SO2,Low,<= 2.53 ug/m3,488,25.597403278688525,18.38095,0.23770491803278687,2.315779508196721
SO2,Medium,> 2.53 and <= 2.97 ug/m3,486,25.65139197530864,19.33335,0.23868312757201646,2.7229917695473245
SO2,High,> 2.97 ug/m3,488,39.0432981557377,33.5494,0.5245901639344263,3.7695280737704917
O3,Low,<= 44.57 ug/m3,487,36.91584332648871,28.1143,0.43737166324435317,28.59171950718686
O3,Medium,> 44.57 and <= 73.03 ug/m3,488,24.76445081967213,15.10835,0.23770491803278687,58.559399795081966
O3,High,> 73.03 ug/m3,487,28.641008418891168,24.9143,0.3264887063655031,99.07889938398357
PM10,Low,<= 33.30 ug/m3,488,10.355887090163934,9.6405,0.0,21.95761987704918
PM10,Medium,> 33.30 and <= 62.30 ug/m3,487,24.049487063655032,23.5762,0.15811088295687886,46.71315523613963
PM10,High,> 62.30 ug/m3,487,55.94551478439425,47.8381,0.8439425051334702,104.00647002053388
Precipitation,No rain,Precipitation = 0,762,31.080328346456696,22.62325,0.35170603674540685,0.0
Precipitation,Rain,Precipitation > 0,700,29.04004085714286,22.8262,0.3142857142857143,4.6102
