Feature,Importance,Importance_percent
CO,0.5776570240556276,57.765702405562756
Lag_PM2.5,0.1879812005545335,18.79812005545335
NO2,0.0845526144874194,8.45526144874194
Humidity,0.02779949522150841,2.779949522150841
Temperature,0.025385907015189647,2.538590701518965
SO2,0.02006947746101936,2.006947746101936
WindSpeed,0.018363397636169506,1.8363397636169505
O3,0.018140659679794037,1.8140659679794038
month,0.01739375359597223,1.7393753595972232
season_Spring,0.0081874175706041,0.81874175706041
Precipitation,0.008167413641467416,0.8167413641467416
season_Summer,0.0038092582505704587,0.38092582505704586
season_Winter,0.0015402881186673857,0.15402881186673856
season_Autumn,0.000952092711457051,0.0952092711457051
