variable,pearson_corr_with_PM2.5,spearman_corr_with_PM2.5,abs_pearson,n
AQI,0.9110090164356074,0.931483541824833,0.9110090164356074,1461
CO,0.7797262665810151,0.8154671241079371,0.7797262665810151,1461
PM10,0.7767285640406048,0.9169124551053175,0.7767285640406048,1461
NO2,0.6322692391110372,0.6378671523180114,0.6322692391110372,1461
Lag_PM2.5,0.5785574652665472,0.5081260404553681,0.5785574652665472,1461
SO2,0.3140452109799239,0.3209883597697287,0.3140452109799239,1461
WindSpeed,-0.22042793605348554,-0.27522849096403207,0.22042793605348554,1461
Humidity,0.21262163899170466,0.24061711598679797,0.21262163899170466,1461
O3,-0.1257974610004698,-0.08122185873279315,0.1257974610004698,1461
Precipitation,-0.1093559069288133,-0.006568498915342129,0.1093559069288133,1461
Temperature,-0.10834972804233607,-0.04649474847922,0.10834972804233607,1461
