split,model,n,RMSE,MAE,Bias,R2,horizon,alpha,k,direction_accuracy_vs_anchor,w_ridge,w_analog,w_persistence
test,Trend optimized ensemble H1,359,18.52555280117959,12.857624909953508,-0.05715905430584972,0.3450686810228173,1,,80.0,0.7186629526462396,0.30000000000000004,0.35000000000000003,0.35000000000000003
test,Trend direct ridge H1,359,18.16827251973408,12.427444397360167,-0.4176202305772916,0.37008684551875837,1,300.0,,0.7381615598885793,,,
test,Trend analog KNN H1,359,19.183000470225885,13.785026713165838,0.19757340499302165,0.29775851553672295,1,,80.0,0.6740947075208914,,,
test,Persistence baseline H1,359,22.04493830173489,15.179764902506964,-0.0029247910863510066,0.07259126508227909,1,,,0.002785515320334262,,,
test,Trend optimized ensemble H2,360,21.921746628006066,15.819121812290406,0.19821082314739955,0.08039638325170806,2,,80.0,0.7277777777777777,0.0,0.7000000000000001,0.30000000000000004
test,Trend direct ridge H2,360,21.41945767936218,15.164526014469969,-0.8907773181416968,0.12205501105676597,2,1000.0,,0.7416666666666667,,,
test,Trend analog KNN H2,360,20.9654885479339,14.957792059754638,0.25240141402008986,0.15887539582925092,2,,80.0,0.7277777777777777,,,
test,Persistence baseline H2,360,29.336277022075322,20.933049444444443,0.07176611111111104,-0.6468739460505593,2,,,0.0,,,
test,Trend optimized ensemble H3,361,21.74991541471951,15.374327856915299,0.02498292881982395,0.09294915537569404,3,,80.0,0.7894736842105263,0.0,0.8,0.2
test,Trend direct ridge H3,361,21.551229624935356,15.200510598781399,-1.154762006675529,0.10944530834826827,3,1000.0,,0.7811634349030471,,,
test,Trend analog KNN H3,361,21.042542966441946,14.855762071507232,0.0066309463433377345,0.150989751543964,3,,80.0,0.7894736842105263,,,
test,Persistence baseline H3,361,30.856797513724906,21.944881163434903,0.09839085872576146,-0.8256528046401399,3,,,0.0,,,
test,Trend optimized ensemble H4,362,21.435376997565182,15.106620684862053,-0.09124981310689531,0.1192302333872759,4,,80.0,0.7845303867403315,0.0,0.8500000000000001,0.15000000000000002
test,Trend direct ridge H4,362,21.42400648325776,15.077879072980863,-1.030231955023297,0.12016440394369154,4,1000.0,,0.7817679558011049,,,
test,Trend analog KNN H4,362,21.13135611794299,14.872028168552829,-0.13180842490964267,0.14403721233290068,4,,80.0,0.7845303867403315,,,
test,Persistence baseline H4,362,30.128850908747697,21.135577900552484,0.138582320441989,-0.7400642442305194,4,,,0.0,,,
test,Trend optimized ensemble H5,363,21.13969732486153,14.905569019611189,0.17813988093223354,0.14148990560085062,5,,80.0,0.7520661157024794,0.0,0.9,0.1
test,Trend direct ridge H5,363,21.534562906646403,15.202725519293352,-0.6217977178383036,0.10911838069671886,5,1000.0,,0.7410468319559229,,,
test,Trend analog KNN H5,363,21.055228416858494,14.856342724998699,0.18419585790756207,0.14833697899219533,5,,80.0,0.7520661157024794,,,
test,Persistence baseline H5,363,29.279489548972712,21.041437190082647,0.1236360881542699,-0.6469290057899759,5,,,0.0,,,
test,Trend optimized ensemble H6,364,21.468172132176488,15.185903337817562,0.283106540786595,0.11262738456823784,6,,80.0,0.7197802197802198,0.0,0.8500000000000001,0.15000000000000002
test,Trend direct ridge H6,364,21.553220112790218,15.32577040274952,-0.18843433126705775,0.105582654589644,6,1000.0,,0.7307692307692307,,,
test,Trend analog KNN H6,364,21.251631546457226,15.022079539333305,0.30125371960672037,0.13043822611083333,6,,80.0,0.7197802197802198,,,
test,Persistence baseline H6,364,29.58716721088258,20.85618406593407,0.18027252747252742,-0.6854763257016709,6,,,0.0,,,
test,Trend optimized ensemble H7,365,21.50177437027074,15.42766719254683,0.18838738854045586,0.10830153277074628,7,,50.0,0.7123287671232876,0.0,0.8,0.2
test,Trend direct ridge H7,365,21.60818754777083,15.43235491881597,-0.02844998298477376,0.09945358663184878,7,1000.0,,0.7150684931506849,,,
test,Trend analog KNN H7,365,21.305147604259524,15.189433732871311,0.1856430712920066,0.12453555203366695,7,,50.0,0.7123287671232876,,,
test,Persistence baseline H7,365,28.783429141090743,20.021526849315066,0.19936465753424687,-0.5979179859260975,7,,,0.0,,,
