model,feature,standardized_coefficient,abs_standardized_coefficient
trend_h1,PM2.5_lag0,5.615545138274987,5.615545138274987
trend_h1,NO2_lag0,4.135868954151359,4.135868954151359
trend_h1,WindSpeed_lag0,-2.70984749688577,2.70984749688577
trend_h1,CO_lag1,-1.626369102518556,1.626369102518556
trend_h1,CO_lag0,1.622658875567892,1.622658875567892
trend_h1,WindSpeed_lag1,1.609478362804314,1.609478362804314
trend_h1,PM2.5_window7_std,1.6069478218760493,1.6069478218760493
trend_h1,NO2_window7_slope,1.531293929927247,1.531293929927247
trend_h1,PM2.5_lag1,-1.5157288007360792,1.5157288007360792
trend_h1,PM10_lag0,1.4411524717519233,1.4411524717519233
trend_h1,PM2.5_window7_max,1.431552151219257,1.431552151219257
trend_h1,Humidity_lag0,1.43002905587518,1.43002905587518
trend_h1,PM2.5_window7_slope,1.4264542482774571,1.4264542482774571
trend_h1,PM2.5_window7_min,-1.3447064367774595,1.3447064367774595
trend_h1,NO2_lag1,-1.2546673138319768,1.2546673138319768
trend_h2,NO2_lag0,1.6276064894169737,1.6276064894169737
trend_h2,PM2.5_window7_std,1.2339852111010612,1.2339852111010612
trend_h2,WindSpeed_lag0,-1.0143726227368877,1.0143726227368877
trend_h2,PM2.5_window7_max,1.0121769090713135,1.0121769090713135
trend_h2,Humidity_lag1,-0.9845405981530053,0.9845405981530053
trend_h2,PM2.5_window7_min,-0.9328123320296635,0.9328123320296635
trend_h2,NO2_window7_slope,0.8466757845008906,0.8466757845008906
trend_h2,NO2_window7_mean,0.8400453002398914,0.8400453002398914
trend_h2,Temperature_window7_slope,0.8111854262721796,0.8111854262721796
trend_h2,Humidity_lag2,-0.8070523225593498,0.8070523225593498
trend_h2,NO2_lag3,0.7230006745430666,0.7230006745430666
trend_h2,PM2.5_lag0,0.6990717861446276,0.6990717861446276
trend_h2,O3_lag4,-0.6635621728806942,0.6635621728806942
trend_h2,PM2.5_lag4,0.6198836337733297,0.6198836337733297
trend_h2,PM10_lag2,-0.6049892534852938,0.6049892534852938
trend_h3,PM2.5_window7_std,1.476664853925152,1.476664853925152
trend_h3,PM2.5_window7_max,1.1244093985551669,1.1244093985551669
trend_h3,Humidity_lag0,-1.0254667010444554,1.0254667010444554
trend_h3,NO2_lag0,0.9955582033979459,0.9955582033979459
trend_h3,Humidity_lag1,-0.8812008344520078,0.8812008344520078
trend_h3,NO2_lag2,0.8310690951825872,0.8310690951825872
trend_h3,Humidity_window7_slope,-0.7771247095487918,0.7771247095487918
trend_h3,O3_lag3,-0.7335140828871687,0.7335140828871687
trend_h3,PM2.5_window7_min,-0.7316501328063827,0.7316501328063827
trend_h3,NO2_window7_slope,0.7130639807885483,0.7130639807885483
trend_h3,NO2_window7_mean,0.7129670035977496,0.7129670035977496
trend_h3,SO2_lag4,-0.6688169091931773,0.6688169091931773
trend_h3,NO2_lag1,0.6286414662101762,0.6286414662101762
trend_h3,PM2.5_lag3,0.6216265676613264,0.6216265676613264
trend_h3,O3_lag4,-0.6058432375465423,0.6058432375465423
trend_h4,PM2.5_window7_std,1.5892046156107293,1.5892046156107293
trend_h4,PM2.5_window7_max,1.2201103489349159,1.2201103489349159
trend_h4,Humidity_lag0,-1.1568955657506834,1.1568955657506834
trend_h4,NO2_lag1,0.8764594847698964,0.8764594847698964
trend_h4,NO2_lag0,0.8560533768565455,0.8560533768565455
trend_h4,PM2.5_window7_min,-0.8197420271652192,0.8197420271652192
trend_h4,SO2_lag3,-0.7461585997368047,0.7461585997368047
trend_h4,O3_lag2,-0.7404937570480886,0.7404937570480886
trend_h4,PM10_lag0,-0.6228868462555429,0.6228868462555429
trend_h4,WindSpeed_lag6,-0.6217758514467806,0.6217758514467806
trend_h4,NO2_window7_slope,0.6191130574843435,0.6191130574843435
trend_h4,NO2_window7_mean,0.6132915441264504,0.6132915441264504
trend_h4,target_day_sin_h4,0.6002631202116144,0.6002631202116144
trend_h4,Humidity_window7_slope,-0.5960370083020302,0.5960370083020302
trend_h4,PM2.5_lag2,0.5933881029372431,0.5933881029372431
trend_h5,PM2.5_window7_std,1.2225514045098071,1.2225514045098071
trend_h5,NO2_lag0,1.0244507320561214,1.0244507320561214
trend_h5,PM2.5_window7_max,0.9465279692122384,0.9465279692122384
trend_h5,SO2_lag2,-0.7962754280329678,0.7962754280329678
trend_h5,O3_lag1,-0.7633470541392748,0.7633470541392748
trend_h5,target_day_sin_h5,0.6379430962109494,0.6379430962109494
trend_h5,O3_lag0,-0.6340174390935929,0.6340174390935929
trend_h5,O3_window7_slope,-0.6093410012104369,0.6093410012104369
trend_h5,WindSpeed_lag5,-0.604178784902967,0.604178784902967
trend_h5,PM2.5_lag1,0.6030813995525667,0.6030813995525667
trend_h5,target_month_sin_h5,0.601246609415269,0.601246609415269
trend_h5,Humidity_lag0,-0.5979641433348434,0.5979641433348434
trend_h5,PM10_lag0,-0.5789411572821941,0.5789411572821941
trend_h5,NO2_window7_mean,0.5779710647734869,0.5779710647734869
trend_h5,O3_lag2,-0.5690046844924764,0.5690046844924764
trend_h6,O3_lag0,-0.9714258567135922,0.9714258567135922
trend_h6,PM2.5_window7_std,0.8970274865826455,0.8970274865826455
trend_h6,PM2.5_window7_max,0.8242517602499345,0.8242517602499345
trend_h6,SO2_lag1,-0.8010266044088769,0.8010266044088769
trend_h6,NO2_lag0,0.786678571430643,0.786678571430643
trend_h6,CO_lag5,-0.7487524730398418,0.7487524730398418
trend_h6,PM2.5_lag0,0.6923600795609253,0.6923600795609253
trend_h6,O3_lag1,-0.6302969962361303,0.6302969962361303
trend_h6,PM2.5_lag6,0.6224294417199013,0.6224294417199013
trend_h6,target_day_sin_h6,0.5985414581464925,0.5985414581464925
trend_h6,target_month_sin_h6,0.5732042076401958,0.5732042076401958
trend_h6,WindSpeed_lag4,-0.5729030680913458,0.5729030680913458
trend_h6,NO2_window7_mean,0.5684571744547126,0.5684571744547126
trend_h6,O3_window7_slope,-0.5572562957180182,0.5572562957180182
trend_h6,Humidity_lag0,-0.5569999437887115,0.5569999437887115
trend_h7,O3_lag0,-0.9343412282944554,0.9343412282944554
trend_h7,SO2_lag0,-0.7918370272523705,0.7918370272523705
trend_h7,CO_lag4,-0.7381149005740926,0.7381149005740926
trend_h7,PM2.5_window7_std,0.6877684136193243,0.6877684136193243
trend_h7,PM2.5_window7_max,0.6373445201261553,0.6373445201261553
trend_h7,PM2.5_lag5,0.610312295377484,0.610312295377484
trend_h7,PM2.5_lag0,0.5972452291713394,0.5972452291713394
trend_h7,NO2_lag4,0.5929564001505135,0.5929564001505135
trend_h7,WindSpeed_lag3,-0.5849692349192329,0.5849692349192329
trend_h7,O3_lag4,-0.5705765333023716,0.5705765333023716
trend_h7,NO2_lag0,0.5690003939075957,0.5690003939075957
trend_h7,target_day_sin_h7,0.5652651721176115,0.5652651721176115
trend_h7,target_month_sin_h7,0.5628009266878737,0.5628009266878737
trend_h7,NO2_window7_mean,0.5362920219176076,0.5362920219176076
trend_h7,Humidity_lag0,-0.532282370611666,0.532282370611666
